t;annee;trim;y
1;1981;T1;90,7
2;;T2;98,6
3;;T3;104
4;;T4;96,1
5;1982;T1;97,7
6;;T2;93,6
7;;T3;98,3
8;;T4;100,3
9;1983;T1;92,3
10;;T2;87,6
11;;T3;92
12;;T4;93,4
13;1984;T1;95,14
14;;T2;95,2
15;;T3;100
16;;T4;104
17;1985;T1;111,2
18;;T2;105,6
19;;T3;95,5
20;;T4;87,8
21;1986;T1;67,5
22;;T2;40,9
23;;T3;31,4
24;;T4;34
25;1987;T1;39,3
26;;T2;41
27;;T3;43,5
28;;T4;40,2
29;1988;T1;34,6
30;;T2;34,6
31;;T3;35,5
32;;T4;31,8
33;1989;T1;38,4
34;;T2;44,6
35;;T3;42,3
36;;T4;42,9
37;1990;T1;42,1
38;;T2;35,5
39;;T3;43
40;;T4;62,8
41;1991;T1;46,5
42;;T2;44,8
43;;T3;46
44;;T4;45,5
